sep=;
FrameUpdate;FrameFixed;timestampStartCycle;timestampStartCycleMillisecond;timestampStartFixed;timestampStartFixedMillisecond;timestampDifference;timestampUnityTime;timestampUnityTimeDifference;timestampEndFixed;timestampEndFixedMillisecond;teleportInfo;Command
1;1;;0;2024-07-10 13:32:33.383;1720618353383;1720618353382;0;0;2024-07-10 13:32:33.383;1720618353382;0;
3;2;2024-07-10 13:32:33.383;1720618353383;2024-07-10 13:32:34.325;1720618354325;943;0.02;0.02;2024-07-10 13:32:34.325;1720618354325;0;
4;3;2024-07-10 13:32:34.325;1720618354325;2024-07-10 13:32:34.442;1720618354442;117;0.04;0.02;2024-07-10 13:32:34.442;1720618354442;0;
4;4;2024-07-10 13:32:34.442;1720618354442;2024-07-10 13:32:34.444;1720618354444;2;0.06;0.02;2024-07-10 13:32:34.444;1720618354444;0;
5;5;2024-07-10 13:32:34.444;1720618354444;2024-07-10 13:32:34.498;1720618354498;54;0.08;0.02;2024-07-10 13:32:34.498;1720618354498;0;
5;6;2024-07-10 13:32:34.498;1720618354498;2024-07-10 13:32:34.500;1720618354500;2;0.09999999;0.02;2024-07-10 13:32:34.500;1720618354500;0;
6;7;2024-07-10 13:32:34.500;1720618354500;2024-07-10 13:32:34.540;1720618354540;40;0.12;0.02;2024-07-10 13:32:34.540;1720618354540;0;
7;8;2024-07-10 13:32:34.540;1720618354540;2024-07-10 13:32:34.581;1720618354581;41;0.14;0.02;2024-07-10 13:32:34.581;1720618354581;0;
7;9;2024-07-10 13:32:34.581;1720618354581;2024-07-10 13:32:34.582;1720618354582;1;0.16;0.02;2024-07-10 13:32:34.582;1720618354582;0;
8;10;2024-07-10 13:32:34.582;1720618354582;2024-07-10 13:32:34.623;1720618354623;41;0.18;0.02;2024-07-10 13:32:34.623;1720618354623;0;
8;11;2024-07-10 13:32:34.623;1720618354623;2024-07-10 13:32:34.624;1720618354624;1;0.2;0.02;2024-07-10 13:32:34.624;1720618354624;0;
9;12;2024-07-10 13:32:34.624;1720618354624;2024-07-10 13:32:34.665;1720618354665;41;0.22;0.02000001;2024-07-10 13:32:34.665;1720618354665;0;
10;13;2024-07-10 13:32:34.665;1720618354665;2024-07-10 13:32:34.694;1720618354694;29;0.24;0.02;2024-07-10 13:32:34.694;1720618354694;0;
10;14;2024-07-10 13:32:34.694;1720618354694;2024-07-10 13:32:34.695;1720618354695;1;0.26;0.02;2024-07-10 13:32:34.695;1720618354695;0;
11;15;2024-07-10 13:32:34.695;1720618354695;2024-07-10 13:32:34.735;1720618354735;40;0.28;0.02000001;2024-07-10 13:32:34.735;1720618354735;0;
11;16;2024-07-10 13:32:34.735;1720618354735;2024-07-10 13:32:34.735;1720618354735;0;0.3;0.01999998;2024-07-10 13:32:34.735;1720618354735;0;
12;17;2024-07-10 13:32:34.735;1720618354735;2024-07-10 13:32:34.762;1720618354762;27;0.32;0.02000001;2024-07-10 13:32:34.762;1720618354762;0;
13;18;2024-07-10 13:32:34.762;1720618354762;2024-07-10 13:32:34.791;1720618354791;29;0.34;0.02000001;2024-07-10 13:32:34.791;1720618354791;0;
13;19;2024-07-10 13:32:34.791;1720618354791;2024-07-10 13:32:34.792;1720618354792;1;0.36;0.01999998;2024-07-10 13:32:34.792;1720618354792;0;
14;20;2024-07-10 13:32:34.792;1720618354792;2024-07-10 13:32:34.819;1720618354819;27;0.38;0.02000001;2024-07-10 13:32:34.819;1720618354819;0;
14;21;2024-07-10 13:32:34.819;1720618354819;2024-07-10 13:32:34.819;1720618354819;0;0.4;0.01999998;2024-07-10 13:32:34.820;1720618354819;0;
15;22;2024-07-10 13:32:34.820;1720618354820;2024-07-10 13:32:34.846;1720618354846;27;0.42;0.02000001;2024-07-10 13:32:34.846;1720618354846;0;
16;23;2024-07-10 13:32:34.846;1720618354846;2024-07-10 13:32:34.874;1720618354874;28;0.44;0.02000001;2024-07-10 13:32:34.874;1720618354874;0;
16;24;2024-07-10 13:32:34.874;1720618354874;2024-07-10 13:32:34.874;1720618354874;0;0.46;0.01999998;2024-07-10 13:32:34.874;1720618354874;0;
17;25;2024-07-10 13:32:34.874;1720618354874;2024-07-10 13:32:34.915;1720618354915;41;0.48;0.02000001;2024-07-10 13:32:34.915;1720618354915;0;
17;26;2024-07-10 13:32:34.915;1720618354915;2024-07-10 13:32:34.916;1720618354916;1;0.5;0.02000001;2024-07-10 13:32:34.916;1720618354916;0;
18;27;2024-07-10 13:32:34.916;1720618354916;2024-07-10 13:32:34.943;1720618354943;27;0.52;0.01999998;2024-07-10 13:32:34.943;1720618354943;0;
19;28;2024-07-10 13:32:34.943;1720618354943;2024-07-10 13:32:34.985;1720618354985;42;0.54;0.01999998;2024-07-10 13:32:34.985;1720618354985;0;
19;29;2024-07-10 13:32:34.985;1720618354985;2024-07-10 13:32:34.986;1720618354986;1;0.56;0.02000004;2024-07-10 13:32:34.986;1720618354986;0;
20;30;2024-07-10 13:32:34.986;1720618354986;2024-07-10 13:32:35.013;1720618355013;27;0.58;0.01999998;2024-07-10 13:32:35.013;1720618355013;0;
