sep=;
FrameUpdate;FrameFixed;timestampStartCycle;timestampStartCycleMillisecond;timestampStartFixed;timestampStartFixedMillisecond;timestampDifference;timestampUnityTime;timestampUnityTimeDifference;EyeHeadSpaceRightRotX;EyeHeadSpaceRightRotY;EyeHeadSpaceRightRotZ;EyeHeadSpaceRightRotW;EyeHeadSpaceLeftRotX;EyeHeadSpaceLeftRotY;EyeHeadSpaceLeftRotZ;EyeHeadSpaceLeftRotW;EyeTrackingSpaceRightPosX;EyeTrackingSpaceRightPosY;EyeTrackingSpaceRightPosZ;EyeTrackingSpaceRightRotX;EyeTrackingSpaceRightRotY;EyeTrackingSpaceRightRotZ;EyeTrackingSpaceRightRotW;EyeTrackingSpaceLeftPosX;EyeTrackingSpaceLeftPosY;EyeTrackingSpaceLeftPosZ;EyeTrackingSpaceLeftRotX;EyeTrackingSpaceLeftRotY;EyeTrackingSpaceLeftRotZ;EyeTrackingSpaceLeftRotW;EyeWorldSpaceRightPosX;EyeWorldSpaceRightPosY;EyeWorldSpaceRightPosZ;EyeWorldSpaceRightRotX;EyeWorldSpaceRightRotY;EyeWorldSpaceRightRotZ;EyeWorldSpaceRightRotW;EyeWorldSpaceLeftPosX;EyeWorldSpaceLeftPosY;EyeWorldSpaceLeftPosZ;EyeWorldSpaceLeftRotX;EyeWorldSpaceLeftRotY;EyeWorldSpaceLeftRotZ;EyeWorldSpaceLeftRotW;EyeClosedL;EyeClosedR;OVRInputLTouchPositionX;OVRInputLTouchPositionY;OVRInputLTouchPositionZ;OVRInputLTouchSpeed;OVRInputLTouchVelocityX;OVRInputLTouchVelocityY;OVRInputLTouchVelocityZ;OVRInputLTouchAccelerationX;OVRInputLTouchAccelerationY;OVRInputLTouchAccelerationZ;OVRInputLTouchAccelerationStrength;OVRInputLTouchOrientationX;OVRInputLTouchOrientationY;OVRInputLTouchOrientationZ;OVRInputLTouchOrientationW;OVRInputLTouchAngSpeed;OVRInputLTouchAngVelocityX;OVRInputLTouchAngVelocityY;OVRInputLTouchAngVelocityZ;OVRInputLTouchAngAccelerationX;OVRInputLTouchAngAccelerationY;OVRInputLTouchAngAccelerationZ;OVRInputLTouchAngAccelerationStrength;OVRInputRTouchPositionX;OVRInputRTouchPositionY;OVRInputRTouchPositionZ;OVRInputRTouchSpeed;OVRInputRTouchVelocityX;OVRInputRTouchVelocityY;OVRInputRTouchVelocityZ;OVRInputRTouchAccelerationX;OVRInputRTouchAccelerationY;OVRInputRTouchAccelerationZ;OVRInputRTouchAccelerationStrength;OVRInputRTouchOrientationX;OVRInputRTouchOrientationY;OVRInputRTouchOrientationZ;OVRInputRTouchOrientationW;OVRInputRTouchAngSpeed;OVRInputRTouchAngVelocityX;OVRInputRTouchAngVelocityY;OVRInputRTouchAngVelocityZ;OVRInputRTouchAngAccelerationX;OVRInputRTouchAngAccelerationY;OVRInputRTouchAngAccelerationZ;OVRInputRTouchAngAccelerationStrength;RawButton.None;RawTouch.None;RawNearTouch.None;RawAxis1D.None;RawAxis2D.None;OVRNodeHeadPositionX;OVRNodeHeadPositionY;OVRNodeHeadPositionZ;OVRNodeHeadSpeed;OVRNodeHeadVelocityX;OVRNodeHeadVelocityY;OVRNodeHeadVelocityZ;OVRNodeHeadAccelerationX;OVRNodeHeadAccelerationY;OVRNodeHeadAccelerationZ;OVRNodeHeadAccelerationStrength;OVRNodeHeadOrientationX;OVRNodeHeadOrientationY;OVRNodeHeadOrientationZ;OVRNodeHeadOrientationW;OVRNodeHeadAngSpeed;OVRNodeHeadAngVelocityX;OVRNodeHeadAngVelocityY;OVRNodeHeadAngVelocityZ;OVRNodeHeadAngAccelerationX;OVRNodeHeadAngAccelerationY;OVRNodeHeadAngAccelerationZ;OVRNodeHeadAngAccelerationStrength;timestampEndFixed;timestampEndFixedMillisecond;teleportInfo;Command
1;1;;0;2024-09-23 14:04:03.257;1727100243257;1727100243257;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-09-23 14:04:03.263;1727100243257;0;
3;2;2024-09-23 14:04:03.263;1727100243263;2024-09-23 14:04:04.392;1727100244392;1135;0.02;0.02;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.3027267;1.150614;-0.433843;0.0827846;0.01243693;-0.01007837;-0.08122216;0;0;0;0;-0.02381981;0.1315802;0.01349157;0.9909275;0.05326772;-0.0456042;-0.01952714;0.019401;0;0;0;0;2024-09-23 14:04:04.392;1727100244392;0;
4;3;2024-09-23 14:04:04.392;1727100244392;2024-09-23 14:04:04.460;1727100244460;68;0.04;0.02;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.3043184;1.149887;-0.4283381;0.07653295;0.02953412;-0.01061281;-0.06980255;0;0;0;0;-0.0225892;0.1339353;0.01326402;0.9906438;0.0932168;-0.02443035;-0.08995811;-0.0002605598;0;0;0;0;2024-09-23 14:04:04.460;1727100244460;0;
4;4;2024-09-23 14:04:04.460;1727100244460;2024-09-23 14:04:04.462;1727100244462;2;0.06;0.02;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.3043184;1.149887;-0.4283381;0.07653295;0.02953412;-0.01061281;-0.06980255;0;0;0;0;-0.0225892;0.1339353;0.01326402;0.9906438;0.0932168;-0.02443035;-0.08995811;-0.0002605598;0;0;0;0;2024-09-23 14:04:04.462;1727100244462;0;
5;5;2024-09-23 14:04:04.462;1727100244462;2024-09-23 14:04:04.505;1727100244505;43;0.08;0.02;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.306808;1.148998;-0.4241997;0.07034451;0.03656816;-0.01280278;-0.05871293;0;0;0;0;-0.02096154;0.1378042;0.01099032;0.9901767;0.1484424;-0.06194789;-0.1154873;-0.06971581;0;0;0;0;2024-09-23 14:04:04.506;1727100244505;0;
5;6;2024-09-23 14:04:04.506;1727100244506;2024-09-23 14:04:04.507;1727100244507;2;0.09999999;0.02;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.306808;1.148998;-0.4241997;0.07034451;0.03656816;-0.01280278;-0.05871293;0;0;0;0;-0.02096154;0.1378042;0.01099032;0.9901767;0.1484424;-0.06194789;-0.1154873;-0.06971581;0;0;0;0;2024-09-23 14:04:04.507;1727100244507;0;
6;7;2024-09-23 14:04:04.507;1727100244507;2024-09-23 14:04:04.563;1727100244563;56;0.12;0.02;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.3083107;1.147964;-0.4225233;0.05908158;0.03618079;-0.02504804;-0.03942307;0;0;0;0;-0.01771916;0.1404061;0.007748343;0.9899051;0.243127;-0.1732657;-0.1216666;-0.119528;0;0;0;0;2024-09-23 14:04:04.567;1727100244563;0;
7;8;2024-09-23 14:04:04.567;1727100244567;2024-09-23 14:04:04.631;1727100244631;68;0.14;0.02;0.04822232;-0.0398519;0.001925526;0.9980395;0.04839448;-0.01272755;0.000616716;0.9987471;0.3395214;1.148302;-0.431565;0.02995598;0.1012909;-0.003051352;0.9944011;0.277092;1.147629;-0.4134793;0.02966843;0.1281872;-0.003836495;0.9912987;27.87146;1.585052;-26.16472;0.02678825;0.09897552;-0.002665439;0.9947256;27.80895;1.584044;-26.14695;0.02636466;0.1258704;-0.003346336;0.9916907;0.009977292;0.0006780154;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.3106406;1.146163;-0.4207841;0.03991842;0.02722147;-0.02097133;-0.0203144;0;0;0;0;-0.01196846;0.1424952;0.002748618;0.9897193;0.2153506;-0.1739241;-0.03742464;-0.1213495;0;0;0;0;2024-09-23 14:04:04.632;1727100244631;0;
7;9;2024-09-23 14:04:04.632;1727100244632;2024-09-23 14:04:04.632;1727100244632;1;0.16;0.02;0.04822232;-0.0398519;0.001925526;0.9980395;0.04839448;-0.01272755;0.000616716;0.9987471;0.3395214;1.148302;-0.431565;0.02995598;0.1012909;-0.003051352;0.9944011;0.277092;1.147629;-0.4134793;0.02966843;0.1281872;-0.003836495;0.9912987;27.87146;1.585052;-26.16472;0.02678825;0.09897552;-0.002665439;0.9947256;27.80895;1.584044;-26.14695;0.02636466;0.1258704;-0.003346336;0.9916907;0.009977292;0.0006780154;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.3106406;1.146163;-0.4207841;0.03991842;0.02722147;-0.02097133;-0.0203144;0;0;0;0;-0.01196846;0.1424952;0.002748618;0.9897193;0.2153506;-0.1739241;-0.03742464;-0.1213495;0;0;0;0;2024-09-23 14:04:04.633;1727100244632;0;
8;10;2024-09-23 14:04:04.633;1727100244633;2024-09-23 14:04:04.686;1727100244686;54;0.18;0.02;0.07167883;-0.01858985;0.001336169;0.9972537;0.0717269;0.008695341;-0.0006253244;0.9973862;0.3418198;1.146229;-0.4299531;0.05906426;0.1240057;-0.007394594;0.9904945;0.2794609;1.146097;-0.4116149;0.05881749;0.1509658;-0.008998695;0.9867466;27.87433;1.125971;-26.16309;0.0539239;0.1229331;-0.006689731;0.9909263;27.81191;1.125384;-26.14494;0.05350756;0.1498735;-0.008123158;0.9872229;0.004093901;4.04716E-05;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.3123469;1.145129;-0.419305;0.02912194;0.01992657;-0.01131187;-0.01797389;0;0;0;0;-0.008483332;0.1422353;-0.002388077;0.9897937;0.1377184;-0.09040429;0.005809397;-0.1037288;0;0;0;0;2024-09-23 14:04:04.687;1727100244686;0;
