sep=;
FrameUpdate;FrameFixed;OVRInputLTouchPositionX;OVRInputLTouchPositionY;OVRInputLTouchPositionZ;OVRInputLTouchSpeed;OVRInputLTouchVelocityX;OVRInputLTouchVelocityY;OVRInputLTouchVelocityZ;OVRInputLTouchAccelerationX;OVRInputLTouchAccelerationY;OVRInputLTouchAccelerationZ;OVRInputLTouchAccelerationStrength;OVRInputLTouchOrientationX;OVRInputLTouchOrientationY;OVRInputLTouchOrientationZ;OVRInputLTouchOrientationW;OVRInputLTouchAngSpeed;OVRInputLTouchAngVelocityX;OVRInputLTouchAngVelocityY;OVRInputLTouchAngVelocityZ;OVRInputLTouchAngAccelerationX;OVRInputLTouchAngAccelerationY;OVRInputLTouchAngAccelerationZ;OVRInputLTouchAngAccelerationStrength;OVRInputRTouchPositionX;OVRInputRTouchPositionY;OVRInputRTouchPositionZ;OVRInputRTouchSpeed;OVRInputRTouchVelocityX;OVRInputRTouchVelocityY;OVRInputRTouchVelocityZ;OVRInputRTouchAccelerationX;OVRInputRTouchAccelerationY;OVRInputRTouchAccelerationZ;OVRInputRTouchAccelerationStrength;OVRInputRTouchOrientationX;OVRInputRTouchOrientationY;OVRInputRTouchOrientationZ;OVRInputRTouchOrientationW;OVRInputRTouchAngSpeed;OVRInputRTouchAngVelocityX;OVRInputRTouchAngVelocityY;OVRInputRTouchAngVelocityZ;OVRInputRTouchAngAccelerationX;OVRInputRTouchAngAccelerationY;OVRInputRTouchAngAccelerationZ;OVRInputRTouchAngAccelerationStrength;RawButton.None;RawTouch.None;RawNearTouch.None;RawAxis1D.None;RawAxis2D.None;OVRNodeHeadPositionX;OVRNodeHeadPositionY;OVRNodeHeadPositionZ;OVRNodeHeadSpeed;OVRNodeHeadVelocityX;OVRNodeHeadVelocityY;OVRNodeHeadVelocityZ;OVRNodeHeadAccelerationX;OVRNodeHeadAccelerationY;OVRNodeHeadAccelerationZ;OVRNodeHeadAccelerationStrength;OVRNodeHeadOrientationX;OVRNodeHeadOrientationY;OVRNodeHeadOrientationZ;OVRNodeHeadOrientationW;OVRNodeHeadAngSpeed;OVRNodeHeadAngVelocityX;OVRNodeHeadAngVelocityY;OVRNodeHeadAngVelocityZ;OVRNodeHeadAngAccelerationX;OVRNodeHeadAngAccelerationY;OVRNodeHeadAngAccelerationZ;OVRNodeHeadAngAccelerationStrength;teleportInfo;Command
1544;2571;-0.01122574;0.952486;0.1290232;0.2171915;-0.2095589;-0.05592394;0.01139026;0;0;0;0;0.08539644;-0.03165828;0.2701993;0.9584871;2.980442;-0.04304902;0.3219124;-2.962694;0;0;0;0;0.005888369;0.9910133;0.05571996;0.2388212;-0.002226502;0.08071063;-0.2247585;0;0;0;0;0.2010842;-0.2018529;-0.1856396;-0.9404034;2.85872;2.164982;-1.44121;-1.186611;0;0;0;0;None;None;None;None;None;0.04606313;1.300455;-0.1394409;0.007230295;0.006543322;-0.0008449535;-0.002957728;0;0;0;0;-0.03365964;0.1279223;-0.016092;0.9910823;0.03554275;0.0306228;-0.01803941;-0.000331844;0;0;0;0;0;
1545;2572;-0.02196377;0.9572677;0.1187;0.3100739;-0.2803138;0.09115425;-0.09623353;0;0;0;0;-0.004979658;-0.06458938;0.3367456;0.9393646;4.071918;1.909605;0.4146797;-3.57239;0;0;0;0;0.005537141;0.9949599;0.05092793;0.2394329;0.00166706;0.08930279;-0.2221494;0;0;0;0;0.2171107;-0.1792867;-0.1229292;-0.9516342;1.915121;1.679426;-0.67156;0.6294649;0;0;0;0;None;None;None;None;None;0.04599509;1.300205;-0.1391982;0.006911549;0.003681358;-0.003417691;-0.004747262;0;0;0;0;-0.03315702;0.1266864;-0.01713156;0.9912405;0.02712597;0.007100679;0.01488612;-0.02153606;0;0;0;0;0;
1546;2573;-0.01187963;0.956524;0.1217501;0.09818365;-0.09680333;-0.002285532;-0.01624568;0;0;0;0;0.04571707;-0.05062485;0.2395729;0.9684792;0.5291999;0.2214068;0.392729;-0.2771199;0;0;0;0;0.006950136;0.9905412;0.06069179;0.07373749;-0.02860897;0.001462795;-0.0679456;0;0;0;0;0.176296;-0.2092234;-0.1597355;-0.9484882;1.010678;0.2336916;-0.8102097;-0.5571523;0;0;0;0;None;None;None;None;None;0.04591969;1.299897;-0.1388515;0.01129999;0.001653756;-0.006747156;-0.008912387;0;0;0;0;-0.03454208;0.1254056;-0.01746849;0.9913502;0.07227365;0.03457211;0.05098791;-0.03779526;0;0;0;0;0;
1546;2574;-0.01187963;0.956524;0.1217501;0.09818365;-0.09680333;-0.002285532;-0.01624568;0;0;0;0;0.04571707;-0.05062485;0.2395729;0.9684792;0.5291999;0.2214068;0.392729;-0.2771199;0;0;0;0;0.006950136;0.9905412;0.06069179;0.07373749;-0.02860897;0.001462795;-0.0679456;0;0;0;0;0.176296;-0.2092234;-0.1597355;-0.9484882;1.010678;0.2336916;-0.8102097;-0.5571523;0;0;0;0;None;None;None;None;None;0.04591969;1.299897;-0.1388515;0.01129999;0.001653756;-0.006747156;-0.008912387;0;0;0;0;-0.03454208;0.1254056;-0.01746849;0.9913502;0.07227365;0.03457211;0.05098791;-0.03779526;0;0;0;0;0;
1547;2575;-0.01577122;0.9567477;0.1248524;0.08332191;-0.07606116;-0.008965131;0.03281565;0;0;0;0;0.04879466;-0.03194137;0.2732997;0.9601594;1.134118;-0.02671413;-0.2037648;-1.115343;0;0;0;0;-0.001004737;0.9896156;0.05863715;0.1648981;-0.1271655;0.04895135;-0.092866;0;0;0;0;0.2017449;-0.2140492;-0.1978616;-0.9350576;1.68414;1.112933;-0.5243177;-1.15013;0;0;0;0;None;None;None;None;None;0.04594681;1.299468;-0.1385407;0.01171835;0.0007315943;-0.008781102;-0.00772508;0;0;0;0;-0.03131317;0.1237091;-0.01726774;0.991674;0.08726627;-0.05609721;0.06680501;-0.002365515;0;0;0;0;0;
1547;2576;-0.01577122;0.9567477;0.1248524;0.08332191;-0.07606116;-0.008965131;0.03281565;0;0;0;0;0.04879466;-0.03194137;0.2732997;0.9601594;1.134118;-0.02671413;-0.2037648;-1.115343;0;0;0;0;-0.001004737;0.9896156;0.05863715;0.1648981;-0.1271655;0.04895135;-0.092866;0;0;0;0;0.2017449;-0.2140492;-0.1978616;-0.9350576;1.68414;1.112933;-0.5243177;-1.15013;0;0;0;0;None;None;None;None;None;0.04594681;1.299468;-0.1385407;0.01171835;0.0007315943;-0.008781102;-0.00772508;0;0;0;0;-0.03131317;0.1237091;-0.01726774;0.991674;0.08726627;-0.05609721;0.06680501;-0.002365515;0;0;0;0;0;
1548;2577;-0.02168636;0.9616563;0.1212465;0.1503233;-0.1305449;0.07406972;0.008295695;0;0;0;0;0.02291138;-0.06021267;0.2630212;0.9626366;0.8386407;0.6667721;0.3712177;-0.3477507;0;0;0;0;-0.002476944;0.9905662;0.05923331;0.1082878;-0.08379075;0.0480003;-0.04900326;0;0;0;0;0.2185185;-0.2046087;-0.1922089;-0.9345805;0.9400616;0.8851837;-0.1401323;-0.2837758;0;0;0;0;None;None;None;None;None;0.04575724;1.298997;-0.1387433;0.01030719;-0.001870037;-0.01003633;-0.00141889;0;0;0;0;-0.02758926;0.1220397;-0.01767386;0.9919842;0.1439507;-0.1231595;0.07451436;0.001073355;0;0;0;0;0;
1549;2578;-0.02395694;0.9631558;0.120513;0.1352362;-0.1072539;0.08233598;-0.00249685;0;0;0;0;0.009352629;-0.05860941;0.2557208;0.9649271;0.7575055;0.740527;0.09985591;-0.1243509;0;0;0;0;0.001681896;0.9926974;0.05984753;0.01787066;0.0115682;0.009706816;-0.009555892;0;0;0;0;0.2085605;-0.1792222;-0.1230471;-0.9535415;1.421084;0.1240431;0.2482597;1.393721;0;0;0;0;None;None;None;None;None;0.04565341;1.298744;-0.1392117;0.01086397;-0.00240378;-0.009620871;0.004436947;0;0;0;0;-0.02657788;0.1223463;-0.0190672;0.9919483;0.1341434;-0.1228719;0.04933277;-0.02152243;0;0;0;0;0;
1549;2579;-0.02395694;0.9631558;0.120513;0.1352362;-0.1072539;0.08233598;-0.00249685;0;0;0;0;0.009352629;-0.05860941;0.2557208;0.9649271;0.7575055;0.740527;0.09985591;-0.1243509;0;0;0;0;0.001681896;0.9926974;0.05984753;0.01787066;0.0115682;0.009706816;-0.009555892;0;0;0;0;0.2085605;-0.1792222;-0.1230471;-0.9535415;1.421084;0.1240431;0.2482597;1.393721;0;0;0;0;None;None;None;None;None;0.04565341;1.298744;-0.1392117;0.01086397;-0.00240378;-0.009620871;0.004436947;0;0;0;0;-0.02657788;0.1223463;-0.0190672;0.9919483;0.1341434;-0.1228719;0.04933277;-0.02152243;0;0;0;0;0;
1550;2580;-0.02153189;0.9646044;0.118303;0.1046853;-0.06730248;0.07920738;-0.01247303;0;0;0;0;0.0118755;-0.0867305;0.2050955;0.9748193;1.334514;0.5672604;0.6049057;1.045578;0;0;0;0;0.01408529;0.9956644;0.06297871;0.2355628;0.2323097;-0.03709134;0.01209493;0;0;0;0;0.1716033;-0.2439029;-0.08034711;-0.9511089;2.28725;-1.077155;-1.620209;1.202569;0;0;0;0;None;None;None;None;None;0.04572814;1.299424;-0.1395485;0.006760842;-0.0005361973;0.001956685;0.006449253;0;0;0;0;-0.03227963;0.1237571;-0.01863868;0.9916123;0.05629137;0.04873375;-0.004180177;-0.02786155;0;0;0;0;0;
